time,S,I,R
0.0,295,5,0
1.0999999999999999,295,5,0
2.2000000000000006,295,5,0
3.3000000000000016,293,7,0
4.4,292,8,0
5.4999999999999964,290,8,2
6.5999999999999925,288,9,3
7.699999999999989,288,9,3
8.799999999999985,288,9,3
9.89999999999998,286,9,5
10.999999999999977,284,11,5
12.099999999999973,278,17,5
13.199999999999969,275,17,8
14.299999999999965,271,21,8
15.399999999999961,266,25,9
16.499999999999964,264,25,11
17.59999999999998,259,26,15
18.699999999999996,253,32,15
19.80000000000001,245,39,16
20.900000000000027,241,42,17
22.000000000000043,237,45,18
23.10000000000006,233,45,22
24.200000000000074,226,51,23
25.30000000000009,223,52,25
26.400000000000105,218,53,29
27.50000000000012,211,58,31
28.600000000000136,203,62,35
29.700000000000152,197,62,41
30.800000000000168,190,65,45
31.900000000000183,182,71,47
33.0000000000002,169,78,53
34.100000000000215,156,87,57
35.20000000000023,147,93,60
36.300000000000246,136,99,65
37.40000000000026,128,103,69
38.50000000000028,117,106,77
39.60000000000029,105,111,84
40.70000000000031,97,113,90
41.800000000000324,86,119,95
42.90000000000034,79,116,105
44.000000000000355,75,116,109
45.10000000000037,69,118,113
46.20000000000039,64,114,122
47.3000000000004,54,117,129
48.40000000000042,48,115,137
49.50000000000043,46,115,139
50.60000000000045,44,110,146
51.700000000000465,43,105,152
52.80000000000048,39,102,159
53.900000000000496,33,103,164
55.00000000000051,28,102,170
56.10000000000053,23,103,174
57.20000000000054,22,102,176
58.30000000000056,20,102,178
59.400000000000574,20,94,186
60.50000000000059,19,91,190
61.600000000000605,18,90,192
62.70000000000062,17,89,194
63.80000000000064,16,84,200
64.90000000000059,16,80,204
66.00000000000053,15,77,208
67.10000000000046,14,74,212
68.2000000000004,13,70,217
69.30000000000034,12,69,219
70.40000000000028,12,65,223
71.50000000000021,12,63,225
72.60000000000015,11,60,229
73.70000000000009,10,59,231
74.80000000000003,9,55,236
75.89999999999996,9,49,242
76.9999999999999,9,46,245
78.09999999999984,9,44,247
79.19999999999978,9,39,252
80.29999999999971,9,35,256
81.39999999999965,9,34,257
82.49999999999959,8,35,257
83.59999999999953,8,33,259
84.69999999999946,8,31,261
85.7999999999994,8,26,266
86.89999999999934,8,24,268
87.99999999999928,7,24,269
89.09999999999921,7,24,269
90.19999999999915,7,23,270
91.29999999999909,7,21,272
92.39999999999903,7,19,274
93.49999999999896,7,18,275
94.5999999999989,7,18,275
95.69999999999884,7,17,276
96.79999999999878,7,17,276
97.89999999999871,7,15,278
98.99999999999865,7,12,281
100.09999999999859,7,12,281
101.19999999999852,7,11,282
102.29999999999846,7,11,282
103.3999999999984,7,10,283
104.49999999999834,7,10,283
105.59999999999827,7,10,283
106.69999999999821,7,10,283
107.79999999999815,7,9,284
108.89999999999809,7,8,285
109.99999999999802,7,7,286
111.09999999999796,7,6,287
112.1999999999979,7,6,287
113.29999999999784,7,5,288
114.39999999999777,7,5,288
115.49999999999771,7,5,288
116.59999999999765,7,4,289
117.69999999999759,7,4,289
118.79999999999752,7,4,289
119.89999999999746,7,4,289
120.9999999999974,7,3,290
122.09999999999734,7,3,290
123.19999999999727,7,3,290
124.29999999999721,7,3,290
125.39999999999715,7,1,292
126.49999999999709,7,1,292
127.59999999999702,7,0,293
128.69999999999698,7,0,293
129.7999999999969,7,0,293
130.89999999999685,7,0,293
131.9999999999968,7,0,293
133.09999999999673,7,0,293
134.19999999999666,7,0,293
135.2999999999966,7,0,293
136.39999999999654,7,0,293
137.49999999999648,7,0,293
138.5999999999964,7,0,293
139.69999999999635,7,0,293
140.7999999999963,7,0,293
141.89999999999623,7,0,293
142.99999999999616,7,0,293
144.0999999999961,7,0,293
145.19999999999604,7,0,293
146.29999999999598,7,0,293
147.3999999999959,7,0,293
148.49999999999585,7,0,293
149.5999999999958,7,0,293
150.69999999999573,7,0,293
151.79999999999566,7,0,293
152.8999999999956,7,0,293
153.99999999999554,7,0,293
155.09999999999548,7,0,293
156.1999999999954,7,0,293
157.29999999999535,7,0,293
158.3999999999953,7,0,293
159.49999999999523,7,0,293
160.59999999999516,7,0,293
161.6999999999951,7,0,293
162.79999999999504,7,0,293
163.89999999999498,7,0,293
164.9999999999949,7,0,293
166.09999999999485,7,0,293
167.1999999999948,7,0,293
168.29999999999472,7,0,293
169.39999999999466,7,0,293
170.4999999999946,7,0,293
171.59999999999454,7,0,293
172.69999999999447,7,0,293
173.7999999999944,7,0,293
174.89999999999435,7,0,293
175.9999999999943,7,0,293
177.09999999999422,7,0,293
178.19999999999416,7,0,293
179.2999999999941,7,0,293
180.39999999999404,7,0,293
181.49999999999397,7,0,293
182.5999999999939,7,0,293
183.69999999999385,7,0,293
184.7999999999938,7,0,293
185.89999999999372,7,0,293
186.99999999999366,7,0,293
188.0999999999936,7,0,293
189.19999999999354,7,0,293
190.29999999999347,7,0,293
191.3999999999934,7,0,293
192.49999999999335,7,0,293
193.5999999999933,7,0,293
194.69999999999322,7,0,293
195.79999999999316,7,0,293
196.8999999999931,7,0,293
197.99999999999304,7,0,293
199.09999999999297,7,0,293
199.99999999999292,7,0,293
