time,S_mean,I_mean,R_mean
0,295.0,5.0,0.0
1,294.9,5.1,0.0
2,294.9,5.1,0.0
3,294.8,5.2,0.0
4,294.8,5.1,0.1
5,294.8,5.0,0.2
6,294.7,5.1,0.2
7,294.7,5.1,0.2
8,294.5,5.3,0.2
9,294.4,5.4,0.2
10,294.3,5.5,0.2
11,294.3,5.5,0.2
12,294.3,5.3,0.4
13,294.2,5.4,0.4
14,294.1,5.5,0.4
15,293.9,5.7,0.4
16,293.9,5.6,0.5
17,293.9,5.6,0.5
18,293.8,5.7,0.5
19,293.6,5.9,0.5
20,293.5,5.9,0.6
21,293.4,6.0,0.6
22,293.4,6.0,0.6
23,293.3,6.0,0.7
24,293.1,6.2,0.7
25,292.9,6.4,0.7
26,292.8,6.4,0.8
27,292.7,6.5,0.8
28,292.3,6.8,0.9
29,292.2,6.9,0.9
30,292.2,6.9,0.9
31,292.1,6.9,1.0
32,292.1,6.9,1.0
33,291.8,7.2,1.0
34,291.8,7.0,1.2
35,291.4,7.4,1.2
36,291.3,7.5,1.2
37,291.2,7.6,1.2
38,291.1,7.7,1.2
39,291.1,7.7,1.2
40,290.9,7.9,1.2
41,290.8,8.0,1.2
42,290.7,8.0,1.3
43,290.6,8.1,1.3
44,290.4,8.3,1.3
45,290.4,8.3,1.3
46,290.3,8.4,1.3
47,290.2,8.5,1.3
48,290.1,8.6,1.3
49,290.0,8.7,1.3
50,289.8,8.9,1.3
51,289.5,9.2,1.3
52,289.2,9.4,1.4
53,289.0,9.6,1.4
54,289.0,9.5,1.5
55,288.7,9.8,1.5
56,288.5,9.9,1.6
57,288.4,10.0,1.6
58,288.4,10.0,1.6
59,288.2,10.1,1.7
60,288.2,10.1,1.7
61,288.0,10.3,1.7
62,287.8,10.5,1.7
63,287.7,10.5,1.8
64,287.5,10.6,1.9
65,287.3,10.8,1.9
66,287.0,11.1,1.9
67,286.8,11.1,2.1
68,286.4,11.5,2.1
69,286.3,11.6,2.1
70,286.2,11.7,2.1
71,286.0,11.8,2.2
72,285.8,11.9,2.3
73,285.7,12.0,2.3
74,285.4,12.3,2.3
75,285.1,12.4,2.5
76,285.1,12.2,2.7
77,285.0,12.3,2.7
78,284.9,12.2,2.9
79,284.9,12.2,2.9
80,284.6,12.4,3.0
81,284.3,12.7,3.0
82,284.0,12.9,3.1
83,283.7,13.2,3.1
84,283.5,13.4,3.1
85,283.2,13.5,3.3
86,282.5,14.2,3.3
87,282.4,14.2,3.4
88,282.2,14.4,3.4
89,281.9,14.5,3.6
90,281.7,14.4,3.9
91,281.3,14.7,4.0
92,281.1,14.9,4.0
93,280.9,14.9,4.2
94,280.7,15.0,4.3
95,280.2,15.5,4.3
96,279.7,16.0,4.3
97,279.3,16.4,4.3
98,279.1,16.6,4.3
99,278.9,16.7,4.4
100,278.7,16.7,4.6
101,278.3,16.9,4.8
102,278.1,16.9,5.0
103,277.9,17.0,5.1
104,277.8,17.1,5.1
105,277.3,17.6,5.1
106,277.2,17.5,5.3
107,277.0,17.6,5.4
108,276.8,17.8,5.4
109,276.6,17.8,5.6
110,276.4,17.9,5.7
111,276.1,18.0,5.9
112,275.8,18.2,6.0
113,275.5,18.5,6.0
114,275.1,18.9,6.0
115,274.7,19.3,6.0
116,274.2,19.8,6.0
117,273.9,20.0,6.1
118,273.6,20.3,6.1
119,273.3,20.5,6.2
120,272.9,20.9,6.2
121,272.9,20.7,6.4
122,272.5,20.6,6.9
123,272.0,21.1,6.9
124,271.6,21.4,7.0
125,271.1,21.6,7.3
126,270.7,21.9,7.4
127,270.4,22.1,7.5
128,270.0,22.2,7.8
129,268.8,23.1,8.1
130,268.4,23.5,8.1
131,267.8,24.1,8.1
132,267.6,24.2,8.2
133,267.1,24.4,8.5
134,266.6,24.8,8.6
135,266.4,25.0,8.6
136,265.8,25.4,8.8
137,265.5,25.7,8.8
138,265.1,26.0,8.9
139,264.9,26.2,8.9
140,264.2,26.8,9.0
141,263.8,27.0,9.2
142,263.2,27.6,9.2
143,262.5,28.2,9.3
144,261.8,28.8,9.4
145,261.5,29.1,9.4
146,261.2,29.3,9.5
147,260.7,29.7,9.6
148,260.4,30.0,9.6
149,260.1,30.2,9.7
