time,S,I,R
0,3585,15,0
1,3549,49,2
2,3476,119,5
3,3326,260,14
4,3125,449,26
5,2885,663,52
6,2585,934,81
7,2250,1218,132
8,1913,1493,194
9,1545,1807,248
10,1178,2076,346
11,864,2293,443
12,581,2460,559
13,388,2544,668
14,271,2538,791
15,175,2504,921
16,80,2498,1022
17,34,2418,1148
18,10,2311,1279
19,1,2209,1390
20,0,2111,1489
21,0,2005,1595
22,0,1909,1691
23,0,1788,1812
24,0,1689,1911
25,0,1607,1993
26,0,1523,2077
27,0,1448,2152
28,0,1367,2233
29,0,1286,2314
30,0,1212,2388
31,0,1140,2460
32,0,1078,2522
33,0,1027,2573
34,0,971,2629
35,0,934,2666
36,0,888,2712
37,0,843,2757
38,0,795,2805
39,0,756,2844
40,0,725,2875
41,0,690,2910
42,0,647,2953
43,0,616,2984
44,0,581,3019
45,0,553,3047
46,0,523,3077
47,0,499,3101
48,0,480,3120
49,0,458,3142
50,0,444,3156
51,0,417,3183
52,0,388,3212
53,0,356,3244
54,0,337,3263
55,0,324,3276
56,0,314,3286
57,0,296,3304
58,0,282,3318
59,0,265,3335
60,0,249,3351
61,0,239,3361
62,0,230,3370
63,0,217,3383
64,0,207,3393
65,0,198,3402
66,0,191,3409
67,0,184,3416
68,0,176,3424
69,0,164,3436
70,0,154,3446
71,0,153,3447
72,0,145,3455
73,0,139,3461
74,0,130,3470
75,0,121,3479
76,0,119,3481
77,0,114,3486
78,0,106,3494
79,0,102,3498
80,0,96,3504
81,0,92,3508
82,0,87,3513
83,0,82,3518
84,0,80,3520
85,0,74,3526
86,0,72,3528
87,0,68,3532
88,0,64,3536
89,0,61,3539
90,0,58,3542
91,0,57,3543
92,0,52,3548
93,0,49,3551
94,0,48,3552
95,0,47,3553
96,0,46,3554
97,0,46,3554
98,0,44,3556
99,0,40,3560
100,0,39,3561
101,0,36,3564
102,0,34,3566
103,0,34,3566
104,0,33,3567
105,0,32,3568
106,0,31,3569
107,0,30,3570
108,0,29,3571
109,0,28,3572
110,0,25,3575
111,0,25,3575
112,0,24,3576
113,0,22,3578
114,0,22,3578
115,0,22,3578
116,0,20,3580
117,0,19,3581
118,0,18,3582
119,0,17,3583
120,0,17,3583
121,0,17,3583
122,0,17,3583
123,0,17,3583
124,0,17,3583
125,0,17,3583
126,0,16,3584
127,0,16,3584
128,0,16,3584
129,0,16,3584
130,0,14,3586
131,0,13,3587
132,0,13,3587
133,0,13,3587
134,0,13,3587
135,0,13,3587
136,0,12,3588
137,0,11,3589
138,0,10,3590
139,0,10,3590
140,0,9,3591
141,0,8,3592
142,0,8,3592
143,0,8,3592
144,0,8,3592
145,0,8,3592
146,0,8,3592
147,0,7,3593
148,0,7,3593
149,0,7,3593
